Seed,TeamID,Season
W01,1163,2024
W02,1235,2024
W03,1228,2024
W04,1120,2024
W05,1361,2024
W06,1140,2024
W07,1450,2024
W08,1194,2024
W09,1321,2024
W10,1179,2024
W11,1182,2024
W12,1412,2024
W13,1463,2024
W14,1287,2024
W15,1355,2024
W16,1391,2024
X01,1314,2024
X02,1112,2024
X03,1124,2024
X04,1104,2024
X05,1388,2024
X06,1155,2024
X07,1173,2024
X08,1280,2024
X09,1277,2024
X10,1305,2024
X11,1307,2024
X12,1213,2024
X13,1158,2024
X14,1159,2024
X15,1253,2024
X16,1447,2024
Y01,1345,2024
Y02,1397,2024
Y03,1166,2024
Y04,1242,2024
Y05,1211,2024
Y06,1376,2024
Y07,1400,2024
Y08,1429,2024
Y09,1395,2024
Y10,1161,2024
Y11,1332,2024
Y12,1270,2024
Y13,1359,2024
Y14,1103,2024
Y15,1389,2024
Y16,1212,2024
Z01,1222,2024
Z02,1266,2024
Z03,1246,2024
Z04,1181,2024
Z05,1458,2024
Z06,1403,2024
Z07,1196,2024
Z08,1304,2024
Z09,1401,2024
Z10,1160,2024
Z11,1301,2024
Z12,1241,2024
Z13,1436,2024
Z14,1324,2024
Z15,1443,2024
Z16,1255,2024
